
2025/09/11 (02:35:04) | ===> btop++ v.1.4.4
2025/09/11 (02:35:04) | ERROR: Stall in Runner thread, restarting!

2025/09/16 (15:13:25) | ===> btop++ v.1.4.4
2025/09/16 (15:13:25) | ERROR: failed getting network interfaces
2025/09/16 (21:42:57) | ERROR: Stall in Runner thread, restarting!

2025/09/23 (17:45:25) | ===> btop++ v.1.4.4
2025/09/23 (17:45:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/09/24 (00:27:46) | ===> btop++ v.1.4.4
2025/09/24 (00:27:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/09/24 (00:28:40) | ===> btop++ v.1.4.4
2025/09/24 (00:28:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/09/24 (10:03:07) | ===> btop++ v.1.4.4
2025/09/24 (10:03:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/09/25 (00:37:24) | ===> btop++ v.1.4.4
2025/09/25 (00:37:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/09/25 (20:18:35) | ===> btop++ v.1.4.4
2025/09/25 (20:18:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/09/30 (00:05:32) | ===> btop++ v.1.4.4
2025/09/30 (00:05:32) | ERROR: Stall in Runner thread, restarting!

2025/09/30 (00:06:59) | ===> btop++ v.1.4.4
2025/09/30 (00:06:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/11/06 (00:08:29) | ===> btop++ v.1.4.4
2025/11/06 (00:08:29) | ERROR: Stall in Runner thread, restarting!

2025/11/15 (01:27:02) | ===> btop++ v.1.4.4
2025/11/15 (01:27:02) | ERROR: Stall in Runner thread, restarting!
